Fecha_Atencion,Adulto_NNA_NNAnA,Sexo,Fecha_Nacimiento,Edad,Pais_Origen,Departamento_Estado,Estado_Civil,Tipo_Poblacion,Hijos,Leer_Escribir,Grado_Estudio,Idiomas_Domina,Fecha_Salida_Pais_Origen,Viajo_Con_Alguien,Abuso_Derechos_Humanos_Antes_Mexico,Abuso_Derechos_Humanos_Al_Llegar_Mexico,Pago_Guia_Viajar,Fecha_Ingreso_Mexico,Ingreso_Mexico_Por,Destino_Final,Red_Apoyo_Mexico,Intento_Ingreso_EUA,Red_Apoyo_EUA,Estuvo_Estacion_Migratoria,Puso_Denuncia_Formal,Puede_Regresar_Pais,Tiene_Enfermedad,Padece_Alergia,Estuvo_Otro_Albergue_Mexico,Albergue_Casa_Monarca,Servicios_Brindados,Hospedado_Actualmente
2021-08-06,Adulto,Hombre,2001-02-27,17,Burkina Faso,Estado1,Soltero/Soltera,Tránsito,Si,Si,Secundaria,Garífona,2016-06-09,No,No,Si,No,2018-04-05,Chetumal,México,No,No,Si,Si,Si,Si,Si,No,No,Si,Alimento,No
2020-09-12,Niño acompañado,Mujer,1966-09-16,24,Irlanda,Estado1,Soltero/Soltera,Refugiados,Si,Si,Secundaria,Frances,2017-11-07,No,Si,Si,No,2018-08-15,Tapachula,Regresar a mi país de origen,Si,No,Si,No,No,Si,Si,Si,No,Si,Asesoría legal,No
2020-09-06,Niño no acompañado,Mujer,1981-10-30,36,Honduras,Estado4,Viuda/Viudo,MPP,Si,No,Bachillerato Técnico,Criollo Haitiano,2016-07-27,No,No,No,No,2015-09-06,Matamoros,México,No,Si,No,Si,No,No,Si,No,No,No,Canalización a servicios pricológicos,No
2023-11-26,Niña acompañada,Mujer,1965-06-08,55,Ecuador,Estado3,Union Libre,MPP,Si,Si,Primaria,Frances,2017-04-20,No,Si,Si,No,2020-03-20,Chiapas,Estados Unidos,No,No,Si,Si,No,No,Si,Si,Si,No,Ropa y calzado,Si
2023-09-16,Niña no acompañada,Hombre,2004-10-29,59,Brunéi,Estado2,Union Libre,Desplazados Internos,Si,Si,Preparatoria,Español,2023-04-18,No,Si,Si,Si,2023-10-25,Reynosa,México,No,No,Si,Si,Si,No,Si,Si,No,No,Orientación en búsqueda de empleo,No
2020-06-10,Adolescente acompañado,Hombre,1962-12-22,16,Dinamarca,Estado1,Casado/Casada,Refugiados,No,No,Preparatoria,Portuges,2023-11-12,Si,No,No,No,2016-09-05,Matamoros,México,No,No,No,Si,No,No,No,No,Si,No,Atención psicosocial,No
2021-07-04,Niña acompañada,Hombre,1994-08-13,12,Kenia,Estado2,Divorciada / Divorciado,Retornados,No,Si,Bachillerato Técnico,Español,2020-10-24,No,No,Si,No,2015-07-31,Chetumal,México,Si,No,Si,Si,Si,No,Si,No,No,Si,Alimento,Si
2023-06-03,Niño no acompañado,Hombre,1962-02-28,38,Honduras,Estado4,Soltero/Soltera,Desplazados Internos,No,No,Sin escolarizar,Inglés,2020-01-12,No,Si,Si,Si,2022-04-09,Matamoros,Regresar a mi país de origen,No,Si,No,Si,Si,Si,No,Si,No,No,Canalización a servicios pricológicos,No
2020-11-30,Adolescente no acompañado,Hombre,2004-11-06,53,Bolivia,Estado3,Divorciada / Divorciado,MPP,Si,No,Licenciatura,Inglés,2017-06-08,Si,Si,Si,Si,2021-10-20,Tabasco,México,No,No,Si,No,Si,Si,Si,Si,No,No,Orientación legal,Si
2021-03-24,Adolescente acompañado,Hombre,1989-09-21,33,Islas Salomón,Estado3,Union Libre,Refugiados,No,Si,Sin escolarizar,Español,2017-04-23,Si,No,Si,No,2021-08-02,Tenosoique,Estados Unidos,Si,No,No,No,Si,Si,No,No,Si,Si,Orientación a servicios prisológicos,No
2021-07-22,Adolescente no acompañado,Hombre,1960-05-20,12,Corea del Norte,Estado3,Union Libre,Desplazados Internos,Si,No,Preparatoria,Garífona,2019-10-02,Si,No,Si,No,2023-11-03,Matamoros,Estados Unidos,No,No,Si,No,Si,No,Si,No,No,No,Orientación legal,Si
2022-11-12,Niño acompañado,Hombre,1982-10-01,29,Guinea Ecuatorial,Estado4,Separado/Separada,Refugiados,Si,Si,Secundaria,Garífona,2023-04-23,No,No,Si,No,2016-03-07,Reynosa,Estados Unidos,No,Si,Si,No,Si,No,No,Si,Si,No,Orientación en búsqueda de empleo,No
2020-02-19,Niño acompañado,Mujer,2002-01-30,55,Birmania (Myanmar),Estado5,Casado/Casada,MPP,Si,Si,Bachillerato Técnico,Criollo Haitiano,2022-11-14,Si,No,Si,Si,2016-01-10,Tabasco,Estados Unidos,No,Si,No,No,Si,No,Si,Si,No,No,Orientación en la búsqueda de vivienda,Si
2022-05-19,Adulto,Mujer,1993-09-13,24,Comoras,Estado5,Separado/Separada,Desplazados Internos,No,Si,Preescolar,Inglés,2016-02-10,No,Si,Si,No,2022-01-16,Tabasco,México,No,Si,No,No,No,Si,No,No,Si,No,Ropa y calzado,No
2023-07-29,Adolescente no acompañado,Hombre,1992-02-21,34,Chad,Estado2,Separado/Separada,MPP,Si,Si,Primaria,Criollo Haitiano,2021-10-25,No,Si,No,Si,2020-06-18,Matamoros,Regresar a mi país de origen,No,No,No,Si,Si,No,No,Si,Si,No,Alimento,No
2022-08-13,Niño no acompañado,Hombre,1975-04-16,39,Estonia,Estado5,Separado/Separada,Tránsito,No,No,Primaria,Inglés,2016-03-10,No,Si,Si,Si,2023-09-19,Chiapas,Estados Unidos,No,Si,No,Si,No,No,No,No,Si,Si,Orientación en la búsqueda de vivienda,No
2023-10-15,Niña no acompañada,Mujer,1979-10-12,23,Kiribati,Estado5,Casado/Casada,MPP,No,No,Primaria,Español,2018-06-19,Si,Si,Si,Si,2015-03-31,Palenque,Estados Unidos,No,Si,No,No,Si,No,No,No,No,Si,Orientación en búsqueda de empleo,No
2023-11-21,Adolescente acompañado,Hombre,2001-03-13,16,Eritrea,Estado3,Casado/Casada,Refugiados,Si,Si,Secundaria,Garífona,2020-05-22,Si,Si,No,Si,2021-02-19,Chiapas,Regresar a mi país de origen,Si,Si,Si,No,Si,Si,No,No,No,Si,Orientación en el acceso a la educación,Si
2023-02-09,Niña acompañada,Hombre,2004-02-01,26,Alemania,Estado3,Viuda/Viudo,Retornados,Si,Si,Preescolar,Garífona,2016-03-09,No,No,Si,No,2023-03-20,Veracruz,Regresar a mi país de origen,Si,No,No,No,Si,No,No,No,Si,Si,Alimento,No
2020-11-26,Niño no acompañado,Hombre,1996-01-01,53,Filipinas,Estado2,Divorciada / Divorciado,MPP,No,No,Bachillerato Técnico,Español,2022-10-04,No,No,Si,Si,2017-05-31,Reynosa,Estados Unidos,No,Si,No,Si,No,No,Si,Si,No,Si,Alimento,Si
2022-01-13,Niño no acompañado,Mujer,1981-03-01,29,Belice,Estado1,Divorciada / Divorciado,Retornados,No,Si,Bachillerato Técnico,Criollo Haitiano,2021-04-05,No,No,Si,Si,2019-09-18,Palenque,Estados Unidos,Si,Si,No,Si,Si,Si,Si,No,No,No,Atención psicosocial,No
2020-11-14,Niño acompañado,Mujer,1962-05-11,45,Bolivia,Estado2,Viuda/Viudo,Tránsito,No,No,Primaria,Criollo Haitiano,2019-03-01,Si,Si,Si,No,2023-03-16,Tenosoique,Regresar a mi país de origen,No,Si,No,Si,Si,No,No,No,No,No,Acceso a higiene (Regadera),Si
2021-01-05,Adolescente no acompañado,Mujer,1967-07-24,18,Burkina Faso,Estado2,Viuda/Viudo,Desplazados Internos,No,Si,Preescolar,Frances,2023-02-21,No,No,Si,Si,2020-03-15,Tabasco,Estados Unidos,Si,No,Si,Si,No,No,No,Si,Si,No,Orientación en el acceso a la educación,No
2021-02-03,Adulto,Mujer,1967-01-02,47,Burundi,Estado4,Union Libre,Desplazados Internos,No,No,Preescolar,Inglés,2023-04-07,Si,Si,Si,No,2018-01-29,Reynosa,Estados Unidos,No,No,Si,No,No,No,No,Si,Si,No,Agua y alimento,No
2021-07-26,Adulto,Mujer,1979-06-05,57,China,Estado4,Separado/Separada,Retornados,No,No,Preescolar,Criollo Haitiano,2023-12-19,No,Si,No,Si,2023-10-31,Chetumal,México,Si,Si,Si,No,No,Si,No,No,No,No,Orientación a servicios prisológicos,No
2020-03-31,Adolescente acompañado,Hombre,1993-03-09,31,Botsuana,Estado2,Viuda/Viudo,Desplazados Internos,Si,No,Preparatoria,Español,2021-03-27,Si,Si,No,No,2015-10-07,Veracruz,Regresar a mi país de origen,No,Si,Si,No,No,No,No,No,Si,No,Asesoría legal,No
2021-09-28,Niño acompañado,Mujer,1991-04-08,11,Argelia,Estado2,Soltero/Soltera,MPP,No,Si,Preparatoria,Criollo Haitiano,2023-10-20,No,No,No,Si,2023-01-02,Veracruz,México,Si,Si,Si,No,Si,No,No,No,No,No,Asesoría legal,No
2022-10-24,Niño no acompañado,Hombre,1991-06-07,33,Eslovenia,Estado2,Divorciada / Divorciado,Retornados,No,Si,Primaria,Garífona,2017-07-25,Si,Si,No,Si,2020-11-14,Reynosa,México,Si,No,No,Si,Si,Si,No,No,No,No,Orientación en el acceso a la educación,No
2022-02-27,Niña no acompañada,Hombre,1960-02-11,17,Bangladés,Estado5,Viuda/Viudo,Refugiados,No,Si,Preescolar,Inglés,2021-04-17,Si,Si,No,No,2015-02-05,Tenosoique,Regresar a mi país de origen,No,No,Si,Si,No,Si,Si,No,Si,No,Atención psicosocial,No
2020-03-28,Niño acompañado,Mujer,1989-03-01,20,Grecia,Estado4,Soltero/Soltera,MPP,No,Si,Licenciatura,Portuges,2022-08-31,Si,No,Si,Si,2021-12-04,Tabasco,México,No,Si,Si,No,Si,No,No,No,Si,No,Ropa y calzado,No
2020-04-15,Adolescente acompañado,Mujer,1980-05-23,22,Afganistán,Estado2,Soltero/Soltera,MPP,Si,Si,Preescolar,Frances,2017-02-07,Si,Si,Si,Si,2017-09-25,Tapachula,Estados Unidos,Si,No,No,Si,No,Si,No,Si,No,No,Orientación a servicios prisológicos,No
2020-05-05,Adolescente acompañado,Hombre,2002-02-24,26,Angola,Estado3,Soltero/Soltera,MPP,Si,No,Bachillerato Técnico,Inglés,2015-10-02,Si,No,Si,No,2019-02-22,Tapachula,México,Si,Si,No,Si,No,No,Si,Si,No,No,Orientación legal,No
2023-05-23,Niño acompañado,Hombre,1974-07-05,17,Alemania,Estado3,Union Libre,Refugiados,No,No,Bachillerato Técnico,Garífona,2022-06-18,Si,Si,Si,Si,2023-10-28,Reynosa,Regresar a mi país de origen,No,No,Si,Si,No,Si,Si,No,No,No,Kit de higiene,No
2022-06-10,Adolescente acompañado,Hombre,1992-07-11,30,Fiyi,Estado5,Union Libre,Tránsito,No,No,Primaria,Garífona,2022-03-16,No,No,Si,Si,2021-07-29,Matamoros,Estados Unidos,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Canalización a servicios pricológicos,No
2023-01-09,Niño acompañado,Mujer,1984-02-27,27,Andorra,Estado5,Soltero/Soltera,Desplazados Internos,No,No,Licenciatura,Garífona,2021-05-17,No,Si,No,No,2019-12-21,Chiapas,Estados Unidos,No,No,No,No,No,No,Si,Si,Si,No,Orientación en el acceso a la educación,No
2023-02-04,Niña acompañada,Mujer,1990-01-24,39,Laos,Estado1,Union Libre,Retornados,Si,No,Preescolar,Garífona,2020-09-14,No,Si,No,No,2020-11-05,Veracruz,Estados Unidos,Si,Si,Si,Si,Si,No,Si,No,No,Si,Orientación para acceder a servicios de salud,No
2023-04-30,Niño acompañado,Mujer,1986-04-16,27,Kirguistán,Estado1,Separado/Separada,Tránsito,Si,No,Sin escolarizar,Español,2018-04-01,No,No,Si,No,2021-09-24,Tenosoique,Estados Unidos,Si,No,No,No,Si,Si,Si,Si,No,No,Agua y alimento,No
2021-03-16,Adolescente no acompañado,Mujer,1999-08-24,55,Finlandia,Estado1,Soltero/Soltera,Retornados,Si,No,Licenciatura,Frances,2020-06-26,Si,Si,Si,No,2022-09-01,Veracruz,México,No,Si,No,Si,Si,Si,No,Si,Si,No,Kit de higiene,No
2021-06-23,Niño acompañado,Mujer,2009-04-07,56,Kuwait,Estado5,Separado/Separada,Desplazados Internos,Si,Si,Primaria,Portuges,2018-12-01,No,No,Si,No,2018-10-10,Chetumal,México,No,Si,Si,Si,No,No,No,No,No,No,Orientación en la búsqueda de vivienda,No
2023-12-19,Adolescente acompañado,Hombre,1993-01-25,40,Israel,Estado5,Separado/Separada,Refugiados,Si,No,Bachillerato Técnico,Garífona,2021-11-01,Si,Si,No,Si,2020-07-12,Tapachula,Estados Unidos,No,Si,Si,No,Si,No,Si,No,Si,Si,Orientación en el acceso a la educación,No
2022-01-22,Adolescente no acompañado,Mujer,1988-01-01,47,Armenia,Estado5,Soltero/Soltera,MPP,Si,Si,Sin escolarizar,Garífona,2019-09-11,Si,No,No,No,2018-01-03,Tabasco,Regresar a mi país de origen,Si,Si,Si,No,No,No,No,No,Si,Si,Atención psicosocial,No
2022-06-28,Adolescente acompañado,Hombre,1985-10-20,41,Bielorrusia,Estado3,Divorciada / Divorciado,MPP,No,No,Bachillerato Técnico,Criollo Haitiano,2021-03-24,Si,Si,Si,Si,2015-07-09,Chetumal,Estados Unidos,Si,No,No,Si,Si,No,No,Si,No,No,Agua y alimento,No
2022-08-24,Adulto,Hombre,1974-10-01,20,Costa de Marfil,Estado5,Soltero/Soltera,Refugiados,Si,No,Preparatoria,Frances,2021-01-11,No,Si,No,No,2020-01-10,Tabasco,México,Si,Si,No,Si,Si,Si,No,No,No,No,Orientación en la búsqueda de vivienda,No
2022-09-28,Adulto,Hombre,1982-05-30,54,Jamaica,Estado3,Soltero/Soltera,Tránsito,Si,Si,Primaria,Inglés,2022-03-23,Si,Si,Si,Si,2018-02-14,Veracruz,Estados Unidos,No,No,Si,No,Si,Si,Si,Si,Si,No,Canalización a servicios pricológicos,Si
2023-09-05,Adolescente no acompañado,Mujer,1999-03-27,34,Brunéi,Estado1,Union Libre,Tránsito,No,No,Primaria,Frances,2018-04-20,No,No,No,Si,2019-09-17,Tenosoique,México,Si,No,Si,Si,No,No,Si,No,No,No,Ropa y calzado,Si
2022-11-02,Niña acompañada,Mujer,1991-07-05,42,Francia,Estado1,Soltero/Soltera,Retornados,Si,Si,Preescolar,Frances,2019-04-10,No,No,No,No,2016-01-05,Tapachula,Estados Unidos,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Orientación en el acceso a la educación,Si
2023-11-19,Adulto,Mujer,1960-07-23,47,Ciudad del Vaticano,Estado1,Divorciada / Divorciado,Refugiados,No,No,Preescolar,Portuges,2022-03-25,No,No,Si,Si,2023-02-28,Veracruz,Regresar a mi país de origen,No,Si,No,No,No,Si,Si,No,Si,Si,Kit de higiene,No
2023-10-27,Niño acompañado,Hombre,2009-05-07,50,Azerbaiyán,Estado2,Union Libre,Tránsito,Si,Si,Preparatoria,Frances,2015-03-08,No,No,No,Si,2015-11-13,Tapachula,Estados Unidos,Si,Si,No,Si,No,Si,No,No,Si,No,Orientación legal,No
2023-02-22,Adolescente acompañado,Hombre,1979-01-31,17,Argentina,Estado2,Casado/Casada,Refugiados,No,No,Sin escolarizar,Portuges,2020-02-29,No,No,No,No,2021-07-26,Reynosa,Regresar a mi país de origen,Si,Si,No,Si,Si,No,No,Si,No,Si,Kit de higiene,No
2022-05-17,Adulto,Hombre,1998-10-17,20,Catar,Estado4,Casado/Casada,Desplazados Internos,No,Si,Secundaria,Garífona,2018-05-06,Si,Si,Si,No,2023-10-08,Tabasco,Regresar a mi país de origen,No,No,Si,Si,Si,No,No,Si,No,Si,Orientación en el acceso a la educación,No
2021-10-19,Adulto,Hombre,1990-11-28,31,Islandia,Estado4,Separado/Separada,MPP,No,Si,Licenciatura,Garífona,2016-02-09,Si,Si,No,No,2019-05-05,Veracruz,Estados Unidos,No,No,No,Si,No,Si,Si,No,No,No,Orientación para acceder a servicios de salud,No
2020-06-30,Niña acompañada,Hombre,1970-09-15,33,Italia,Estado4,Separado/Separada,MPP,No,No,Secundaria,Español,2017-06-30,No,Si,Si,No,2022-11-05,Palenque,Regresar a mi país de origen,No,No,No,Si,No,Si,Si,Si,Si,No,Ropa y calzado,No
2021-04-04,Adolescente no acompañado,Hombre,1962-01-25,50,Eslovenia,Estado2,Divorciada / Divorciado,MPP,No,No,Secundaria,Portuges,2021-10-10,Si,Si,No,Si,2020-08-09,Tapachula,Regresar a mi país de origen,No,No,Si,No,No,No,No,No,Si,No,Orientación legal,No
2021-12-13,Adolescente no acompañado,Mujer,1983-09-21,26,El Salvador,Estado2,Viuda/Viudo,Refugiados,Si,Si,Primaria,Portuges,2019-03-27,No,Si,Si,Si,2016-11-30,Tapachula,México,No,Si,No,Si,No,No,Si,No,Si,Si,Asesoría legal,No
2021-01-22,Niño no acompañado,Mujer,2007-10-21,21,Austria,Estado4,Casado/Casada,Refugiados,Si,No,Licenciatura,Inglés,2018-05-17,Si,No,Si,Si,2023-12-05,Palenque,México,No,No,Si,No,Si,No,Si,Si,Si,No,Orientación en la búsqueda de vivienda,No
2023-08-25,Niña acompañada,Mujer,1977-03-24,55,India,Estado4,Separado/Separada,Retornados,No,Si,Primaria,Criollo Haitiano,2015-04-22,Si,Si,No,Si,2018-12-10,Matamoros,Regresar a mi país de origen,No,Si,No,No,No,Si,No,Si,No,Si,Ropa y calzado,Si
2022-01-14,Niño acompañado,Mujer,1961-07-23,41,Haití,Estado5,Casado/Casada,MPP,No,No,Licenciatura,Frances,2021-12-21,Si,No,No,Si,2023-04-21,Veracruz,Estados Unidos,No,Si,Si,Si,No,Si,Si,No,No,No,Orientación en la búsqueda de vivienda,No
2021-12-04,Adolescente no acompañado,Hombre,2006-12-30,24,Bahamas,Estado4,Divorciada / Divorciado,Retornados,No,Si,Bachillerato Técnico,Inglés,2022-04-17,Si,Si,Si,Si,2019-05-29,Palenque,Regresar a mi país de origen,No,No,Si,No,Si,Si,Si,No,No,No,Agua y alimento,No
2023-03-01,Adolescente acompañado,Hombre,2004-03-21,25,Camerún,Estado5,Divorciada / Divorciado,MPP,Si,No,Primaria,Portuges,2016-05-26,Si,No,No,No,2016-11-25,Tapachula,Estados Unidos,Si,No,No,Si,No,No,No,No,Si,Si,Acceso a higiene (Regadera),No
2022-02-16,Niña acompañada,Mujer,1992-07-06,31,Egipto,Estado3,Viuda/Viudo,Retornados,No,Si,Primaria,Inglés,2016-04-06,Si,No,No,Si,2017-04-18,Veracruz,México,No,No,Si,No,Si,No,Si,Si,Si,Si,Asesoría legal,Si
2022-03-13,Adulto,Hombre,1972-12-01,37,Benín,Estado2,Viuda/Viudo,Retornados,No,No,Primaria,Español,2021-10-07,Si,No,No,Si,2022-07-14,Tenosoique,Estados Unidos,No,No,No,No,No,No,No,No,No,Si,Atención psicosocial,No
2020-02-18,Adolescente acompañado,Mujer,1969-05-15,29,Guinea,Estado4,Union Libre,Desplazados Internos,No,Si,Sin escolarizar,Criollo Haitiano,2019-05-21,Si,Si,Si,Si,2019-09-30,Tenosoique,Regresar a mi país de origen,Si,No,Si,No,Si,No,No,No,Si,Si,Orientación en la búsqueda de vivienda,No
2021-04-11,Adolescente acompañado,Mujer,1997-03-26,42,Bangladés,Estado2,Divorciada / Divorciado,Retornados,No,Si,Preparatoria,Portuges,2015-12-07,Si,Si,Si,No,2023-06-04,Tabasco,Regresar a mi país de origen,No,No,Si,Si,No,No,Si,No,No,Si,Orientación legal,No
2022-01-14,Adulto,Mujer,2006-03-12,19,Kenia,Estado2,Separado/Separada,Refugiados,Si,No,Primaria,Portuges,2020-03-29,Si,Si,Si,No,2021-08-04,Matamoros,Regresar a mi país de origen,Si,Si,Si,No,No,Si,No,No,Si,Si,Orientación para acceder a servicios de salud,No
2020-01-31,Niña acompañada,Hombre,1970-09-24,49,Ghana,Estado2,Casado/Casada,Retornados,No,No,Preescolar,Frances,2015-03-06,Si,Si,No,No,2023-07-12,Tenosoique,Regresar a mi país de origen,Si,Si,No,No,No,Si,Si,No,Si,No,Agua y alimento,No
2022-10-01,Adulto,Mujer,1990-10-19,41,Eritrea,Estado3,Soltero/Soltera,MPP,No,Si,Preescolar,Criollo Haitiano,2015-11-26,Si,No,No,No,2022-10-17,Matamoros,Regresar a mi país de origen,No,Si,Si,No,No,Si,Si,No,Si,Si,Orientación en la búsqueda de vivienda,No
2020-10-22,Niño no acompañado,Mujer,1989-07-21,59,Irak,Estado1,Viuda/Viudo,Retornados,Si,Si,Licenciatura,Español,2016-07-09,Si,No,Si,Si,2015-10-25,Tabasco,Estados Unidos,Si,No,Si,Si,No,No,Si,Si,Si,Si,Kit de higiene,No
2022-12-23,Adolescente acompañado,Mujer,1995-11-08,42,Eslovenia,Estado4,Soltero/Soltera,Tránsito,No,Si,Bachillerato Técnico,Garífona,2019-05-20,No,No,Si,Si,2020-07-22,Reynosa,Regresar a mi país de origen,No,Si,No,Si,Si,Si,Si,No,Si,No,Orientación en búsqueda de empleo,Si
2021-12-18,Niña no acompañada,Hombre,1975-04-14,11,Andorra,Estado1,Separado/Separada,MPP,No,Si,Preparatoria,Inglés,2020-01-23,Si,No,No,Si,2017-10-21,Chetumal,México,No,Si,Si,No,No,No,Si,No,No,Si,Alimento,No
2022-05-17,Niña no acompañada,Hombre,1971-02-23,42,Andorra,Estado1,Viuda/Viudo,Tránsito,Si,No,Sin escolarizar,Frances,2020-07-08,Si,Si,No,No,2020-06-12,Tabasco,Regresar a mi país de origen,Si,Si,Si,No,Si,Si,Si,Si,No,Si,Agua y alimento,No
2020-06-25,Niño acompañado,Mujer,1989-11-13,42,Benín,Estado1,Soltero/Soltera,MPP,Si,Si,Licenciatura,Portuges,2022-02-22,Si,No,No,Si,2023-10-03,Chiapas,Estados Unidos,Si,Si,Si,No,Si,Si,Si,Si,No,No,Atención psicosocial,No
2020-04-16,Adolescente no acompañado,Hombre,2006-04-14,50,Armenia,Estado2,Separado/Separada,Refugiados,Si,Si,Preescolar,Garífona,2020-04-16,Si,Si,No,Si,2020-11-05,Matamoros,Regresar a mi país de origen,Si,Si,Si,No,Si,No,Si,No,Si,No,Orientación a servicios prisológicos,No
2023-04-24,Adulto,Hombre,1961-01-29,22,Bosnia y Herzegovina,Estado5,Casado/Casada,Refugiados,No,Si,Preparatoria,Español,2021-07-31,Si,No,Si,Si,2015-09-16,Tenosoique,Regresar a mi país de origen,No,Si,No,Si,Si,Si,Si,Si,No,No,Orientación para acceder a servicios de salud,No
2020-09-23,Adulto,Hombre,1970-06-29,39,Laos,Estado2,Separado/Separada,Refugiados,No,No,Preparatoria,Criollo Haitiano,2021-09-18,Si,No,No,No,2017-11-24,Tenosoique,Estados Unidos,No,No,Si,Si,No,Si,No,No,No,Si,Canalización a servicios pricológicos,No
2020-04-30,Niño acompañado,Hombre,2008-01-31,42,Brasil,Estado2,Union Libre,Tránsito,Si,Si,Bachillerato Técnico,Inglés,2020-08-17,No,No,No,No,2015-05-17,Veracruz,Regresar a mi país de origen,Si,No,Si,Si,No,Si,No,Si,Si,No,Orientación en la búsqueda de vivienda,Si
2020-06-09,Niño acompañado,Hombre,1966-08-23,22,Chad,Estado1,Viuda/Viudo,Desplazados Internos,Si,No,Preparatoria,Frances,2019-09-12,No,Si,Si,No,2018-06-30,Tapachula,Estados Unidos,No,No,No,No,No,Si,Si,Si,Si,Si,Acceso a higiene (Regadera),No
2022-11-18,Niño acompañado,Hombre,1981-06-29,35,Irlanda,Estado2,Divorciada / Divorciado,MPP,Si,No,Primaria,Portuges,2020-03-30,No,Si,Si,Si,2023-06-15,Tenosoique,Regresar a mi país de origen,No,Si,Si,Si,No,Si,Si,No,No,No,Orientación en el acceso a la educación,Si
2020-10-15,Adolescente acompañado,Hombre,1999-05-19,31,El Salvador,Estado1,Casado/Casada,Refugiados,No,No,Preparatoria,Portuges,2015-05-19,Si,No,No,Si,2017-06-14,Palenque,México,Si,No,Si,No,Si,Si,Si,Si,No,Si,Orientación en el acceso a la educación,No
2023-03-24,Niño no acompañado,Hombre,1995-03-18,48,Bielorrusia,Estado5,Soltero/Soltera,MPP,No,No,Bachillerato Técnico,Garífona,2020-03-18,Si,No,Si,Si,2017-04-18,Tapachula,Regresar a mi país de origen,Si,No,No,No,Si,Si,No,No,No,No,Orientación en el acceso a la educación,No
2021-03-06,Adulto,Hombre,1988-02-22,11,Guyana,Estado4,Viuda/Viudo,Tránsito,Si,No,Licenciatura,Garífona,2022-08-09,Si,No,No,Si,2018-12-17,Palenque,Estados Unidos,Si,Si,No,No,Si,No,No,Si,No,No,Orientación en búsqueda de empleo,No
2021-06-01,Adolescente acompañado,Hombre,1988-01-01,47,Chile,Estado1,Divorciada / Divorciado,Desplazados Internos,No,No,Bachillerato Técnico,Inglés,2021-02-05,No,Si,No,No,2020-09-09,Matamoros,México,Si,No,No,Si,No,Si,Si,No,No,No,Orientación en búsqueda de empleo,No
2023-05-04,Niño acompañado,Mujer,1981-09-18,48,Costa de Marfil,Estado5,Separado/Separada,Tránsito,Si,No,Sin escolarizar,Criollo Haitiano,2020-02-15,Si,Si,Si,Si,2023-05-02,Chiapas,Estados Unidos,Si,Si,No,No,No,No,Si,Si,Si,Si,Orientación en el acceso a la educación,No
2022-07-18,Adulto,Mujer,1960-08-05,35,Andorra,Estado4,Divorciada / Divorciado,MPP,No,Si,Bachillerato Técnico,Español,2020-11-06,Si,Si,Si,No,2020-09-29,Tapachula,Regresar a mi país de origen,Si,No,Si,Si,No,Si,Si,No,No,Si,Canalización a servicios pricológicos,No
2023-05-22,Adolescente acompañado,Hombre,1987-01-24,55,Estados Unidos,Estado3,Viuda/Viudo,Desplazados Internos,No,Si,Preescolar,Criollo Haitiano,2023-10-24,No,No,No,Si,2019-10-10,Matamoros,México,Si,Si,No,No,No,No,No,No,No,No,Orientación en el acceso a la educación,No
2022-11-26,Niño no acompañado,Mujer,1995-11-22,59,Eslovaquia,Estado1,Viuda/Viudo,Desplazados Internos,No,No,Primaria,Criollo Haitiano,2016-06-04,No,Si,Si,No,2015-05-14,Tenosoique,Estados Unidos,Si,Si,Si,Si,Si,No,Si,No,No,No,Orientación legal,No
2023-02-09,Adolescente acompañado,Mujer,1994-01-08,24,Corea del Sur,Estado1,Union Libre,Tránsito,No,Si,Preescolar,Criollo Haitiano,2016-06-21,Si,No,No,Si,2017-01-25,Chiapas,México,Si,No,No,No,No,Si,No,No,No,No,Ropa y calzado,No
2021-05-30,Niño no acompañado,Hombre,1982-03-26,43,Benín,Estado3,Union Libre,Refugiados,Si,Si,Licenciatura,Inglés,2016-02-18,Si,Si,No,Si,2022-03-18,Reynosa,México,Si,Si,Si,Si,No,No,No,Si,No,No,Orientación en búsqueda de empleo,No
2021-07-11,Niño acompañado,Hombre,1963-05-16,51,Barbados,Estado3,Divorciada / Divorciado,MPP,No,No,Secundaria,Inglés,2018-06-22,Si,No,No,No,2023-09-02,Tenosoique,Estados Unidos,No,No,No,No,Si,No,Si,No,No,Si,Agua y alimento,No
2023-05-05,Niño no acompañado,Hombre,1968-01-12,53,Granada,Estado1,Separado/Separada,Retornados,No,Si,Licenciatura,Español,2019-06-08,Si,No,Si,No,2020-08-28,Chetumal,México,No,Si,No,Si,Si,Si,No,Si,Si,No,Asesoría legal,No
2020-07-28,Adulto,Mujer,2005-07-03,58,Andorra,Estado3,Divorciada / Divorciado,Retornados,Si,No,Primaria,Criollo Haitiano,2018-08-07,No,Si,No,Si,2022-07-25,Tabasco,Estados Unidos,Si,No,Si,No,No,No,Si,Si,Si,No,Kit de higiene,No
2020-08-26,Niño acompañado,Mujer,1996-06-06,49,Jordania,Estado2,Viuda/Viudo,Tránsito,No,Si,Preparatoria,Inglés,2020-07-07,Si,No,No,Si,2022-11-14,Tapachula,México,No,No,No,No,No,Si,No,No,Si,Si,Alimento,No
